application_id,net_monthly_income,monthly_debt_payment,monthly_expenses,property_value,requested_amount,requested_term_months,active_loan_count,has_late_payments,employment_tenure_months,average_monthly_balance,estimated_monthly_payment,debt_to_income_ratio,loan_to_value_ratio,payment_to_income_ratio,expense_to_income_ratio,total_obligations_to_income_ratio,employment_stability_score,banking_capacity_score,credit_history_score,default_flag,recommended_amount
APP-000000,9475.09,4265.36,5560.73,586175.62,441341.34,240,3,0,35,17440.3,1838.92,0.4502,0.7529,0.1941,0.5869,1.2311,80,75,76,1,0.0
APP-000001,5172.05,1121.72,2830.55,300052.4,250957.34,240,3,0,48,3344.69,1045.66,0.2169,0.8364,0.2022,0.5473,0.9663,80,55,76,1,126000.0
APP-000002,10901.44,2882.91,6360.78,848265.07,640891.21,180,3,0,26,24302.43,3560.51,0.2645,0.7555,0.3266,0.5835,1.1745,80,75,76,1,128000.0
APP-000003,11509.81,1895.59,1381.18,857864.82,840707.52,300,2,0,56,4424.11,2802.36,0.1647,0.98,0.2435,0.12,0.5282,80,55,84,0,537000.0
APP-000004,2500.0,0.0,1743.41,120000.0,108704.68,240,1,0,39,4384.14,452.94,0.0,0.9059,0.1812,0.6974,0.8785,80,75,92,1,88000.0
APP-000005,4333.03,868.57,2261.08,390874.48,265803.0,240,0,0,42,11787.12,1107.51,0.2005,0.68,0.2556,0.5218,0.9779,80,75,100,1,156000.0
APP-000006,8909.09,2377.52,7250.54,608530.87,412983.39,240,1,0,51,10539.97,1720.76,0.2669,0.6787,0.1931,0.8138,1.2738,80,75,92,0,164000.0
APP-000007,7488.02,2356.27,2207.68,374425.45,292448.96,180,0,1,36,7084.91,1624.72,0.3147,0.7811,0.217,0.2948,0.8265,80,55,65,0,31000.0
APP-000008,8446.24,1624.0,1164.3,771970.07,471718.11,180,2,1,55,8909.9,2620.66,0.1923,0.6111,0.3103,0.1378,0.6404,80,75,49,1,117000.0
APP-000009,5770.26,0.0,2430.17,468903.75,408704.7,240,1,0,31,15091.92,1702.94,0.0,0.8716,0.2951,0.4212,0.7163,80,75,92,1,345000.0
